OTUID	ASCC1_C2_4_0923_SJ_1C_5	ASCC100_11_73_0923_TP_1C_5	ASCC101_10_68_0928_TP_1C_5	ASCC102_12_82_0923_TP_1C_5	ASCC103_11_73_0923_TP_1C_15	ASCC104_5_32_0923_TP_1C_15	ASCC106_7_43_0923_TP_1C_5	ASCC108_15_100_0923_TP_1C_5	ASCC109_6_39_0923_TP_1C_5	ASCC11_C2_5_0923_SJ_1C_15	ASCC110_1_3_0923_TP_1C_5	ASCC111_7_44_0923_TP_1C_15	ASCC113_12_84_0923_TP_1C_15	ASCC114_9_60_0923_TP_1C_5	ASCC115_3_15_0923_TP_1C_5	ASCC116_4_24_0923_TP_1C_5	ASCC117_14_94_0923_TP_1C_15	ASCC118_16_110_0923_TP_1C_5	ASCC119_11_72_0923_TP_1C_5	ASCC12_T1A_6_0923_SJ_1C_5	ASCC120_3_16_0923_TP_1C_15	ASCC121_6_38_0923_TP_1C_5	ASCC123_2_12_0923_TP_1C_15	ASCCC124_4_24_0923_TP_1C_15	ASCC125_14_97_0923_TP_1C_5	ASCC126_6_39_0923_TP_1C_15	ASCC127_5_32_0923_TP_1C_5	ASCC128_15_100_0923_TP_1C_15	ASCC129_13_87_0923_TP_1C_5	ASCC13_T3A_4_0923_SJ_1C_5	ASCC130_4_26_0923_TP_1C_15	ASCC131_5_33_0923_TP_1C_5	ASCC132_1_4_0923_TP_1C_5	ASCC133_2_12_0923_TP_1C_15	ASCC134_10_67_0923_TP_1C_15	ASCC136_4_26_0923_TP_1C_5	ASCC137_6_38_0923_TP_1C_15	ASCC138_2_13_0923_TP_1C_15	ASCC139_14_94_0923_TP_1C_5	ASCC14_C1_2_0923_SJ_1C_5	ASCC140_5_33_0923_TP_1C_15	ASCC141_7_43_0923_TP_1C_15	ASCC142_9_58_0923_TP_1C_15	ASCC143_1_3_0923_TP_1C_5	ASCC145_15_101_0923_TP_1C_15	ASCC146_12_82_0923_TP_1C_15	ASCC148_10_67_0923_TP_1C_5	ASCC149_3_16_0923_TP_1C_5	ASCC15_T3C_4_0923_SJ_1C_5	ASCC150_9_58_0923_TP_1C_5	ASCC151_9_60_0923_TP_1C_15	ASCC152_7_44_0923_TP_1C_5	ASCC153_13_87_0923_TP_1C_15	ASCC154_15_101_0923_TP_1C_5	ASCC155_13_88_0923_TP_1C_5	ASCC156_8_52_0923_TP_1C_15	ASCC157_13_88_0923_TP_1C_15	ASCC_158_1_3_0923_TP_1C_15	ASCC159_12_84_0923_TP_1C_5	ASCC16_T3B_2_0923_SJ_1C_5	ASCC160_2_13_0923_TP_1C_OM	ASCC161_6_38_0923_TP_1C_OM2	ASCC162_1_3_0923_TP_1C_OM	ASCC163_13_88_0923_TP_1C_OM	ASCC164_2_12_0923_TP_1C_OM	ASCC165_7_44_0923_TP_1C_OM	ASCC166_5_32_0923_TP_1C_OM	ASCC167_15_100_0923_TP_1C_OM	ASCC168_10_68_0923_TP_1C_OM	ASCC169_14_97_0923_TP_1C_OM	ASCC17_T4A_3_0923_SJ_1C_15	ASCC170_12_82_0923_TP_1C_OM	ASCC171_3_16_0923_TP_1C_OM	ASCC172_11_72_0923_TP_1C_OM	ASCC173_5_33_0923_TP_1C_OM	ASCC174_3_15_0923_TP_1C_OM	ASCC175_10_67_0923_TP_1C_OM	ASCC176_8_52_0923_TP_1C_OM	ASCC177_14_94_0923_TP_1C_OM	ASCC178_4_26_0923_TP_1C_OM	ASCC179_16_110_0923_TP_1C_OM	ASCC18_C3_5_0923_SJ_1C_15	ASCC180_7_43_0923_TP_1C_OM	ASCC181_11_73_0923_TP_1C_OM	ASCC182_1_4_0923_TP_1C_OM	ASCC183_4_24_0923_TP_1C_OM	ASCC184_6_39_0923_TP_1C_OM	ASCC185_15_101_0923_TP_1C_OM	ASCC186_9_60_0923_TP_1C_OM	ASCC189_13_87_0923_TP_1C_OM	ASCC19_T2B_2_0923_SJ_1C_15	ASCC190_16_111_0923_TP_1C_OM	ASCC191_T3B_2_0923_SJ_1C_OM	ASCC192_T2A_4_0923_SJ_1C_OM	ASCC194_C1_5_0923_SJ_1C_OM	ASCC195_C2_2_0923_SJ_1C_OM	ASCC196_T1B_3_0923_SJ_1C_OM	ASCC198_T1C_6_0923_SJ_1C_OM	ASCC2_T1A_6_0923_SJ_1C_15	ASCC20_T3A_6_0923_SJ_1C_5	ASCC201_T2B_4_0923_SJ_1C_OM	ASCC202_C4_6_0923_SJ_1C_OM	ASCC203_C3_4_0923_SJ_1C_OM	ASCC204_T4A_4_0923_SJ_1C_OM	ASCC205_C2_5_0923_SJ_1C_OM	ASCC206_T4B_4_0923_SJ_1C_OM	ASCC207_T3A_6_0923_SJ_1C_OM	ASCC208_T1A_6_0923_SJ_1C_OM	ASCD209_T3A_5_0923_SJ_1C_OM	ASCC21_T2C_3_0923_SJ_1C_15	ASCC210_T2C_7_0923_SJ_1C_OM	ASCC211_C4_4_0923_SJ_1C_OM	ASCC212_T4C_6_0923_SJ_1C_OM	ASCC213_T3A_4_0923_SJ_1C_OM	ASCC214_C1_4_0923_SJ_1C_OM	ASCC215_T4A_6_0923_SJ_1C_OM	ASCC216_T4B_5_0923_SJ_1C_OM	ASCC217_T3B_5_0923_SJ_1C_OM	ASCC218_T1A_3_0923_SJ_1C_OM	ASCC219_T4A_3_0923_SJ_1C_OM	ASCC22_T3B_5_0923_SJ_1C_15	ASCC220_T1A_2_0923_SJ_1C_OM	ASCC221_C4_3_0923_SJ_1C_OM	ASCC222_T1A_2_0923_SJ_1C_OM	ASCC223_C2_4_0923_SJ_1C_OM	ASCC224_C3_5_0923_SJ_1C_OM	ASCC225_T1C_4_0923_SJ_1C_OM	ASCC226_T2C_5_0923_SJ_1C_OM	ASCC227_TB3_3_0923_SJ_1C_OM	ASCC228_T4B_3_0923_SJ_1C_OM	ASCC229_C3_3_0923_SJ_1C_OM	ASCC23_C4_4_0923_SJ_1C_15	ASCC230_T2B_3_0923_SJ_1C_OM	ASCC231_T2A_3_0923_SJ_1C_OM	ASCC232_T2A_5_0923_SJ_1C_OM	ASCC233_T3C_4_0923_SJ_1C_OM	ASCC234_T4C_5_0923_SJ_1C_OM	ASCC235_C1_5_0923_SJ_1C_OM	ASCC236_T4C_4_0923_SJ_1C_OM	ASCC237_T1B_5_0923_SJ_1C_OM	ASCC238_112_0823_SF_1C_OM	ASCC239_T2B_6_0923_SJ_1C_OM	ASCC24_T3B_3_0923_SJ_1C_5	ASCC240_T3C_5_0923_SJ_1C_OM	ASCC241_T1B_4_0923_SJ_1C_OM	ASCC242_T1C_3_0923_SJ_1C_OM	ASCC243_T2C_3_0923_SJ_1C_OM	ASCC244_T3C_3_0923_SJ_1C_OM	ASCC245_76_0823_SF_1C_OM	ASCC246_32_0823_SF_1C_OM	ASCC247_151_0823_SF_1C_OM	ASCC25_T3C_3_0923_SJ_1C_5	ASCC250_55_SF_0823_1C_OM	ASCC251_5_0823_SF_1C_OM	ASCC252_84_0823_SF_1C_OM	ASCC255_62_0823_SF_1C_OM	ASCC256_168_0823_SF_1C_OM	ASCC257_75_0823_SF_1C_OM	ASCC258_57_0823_SF_1C_OM	ASCC259_37_0823_SF_1C_OM	ASCC26_C4_6_0923_SJ_1C_15	ASCC263_122_0823_SF_1C_OM	ASCC264_101_0823_SF_1C_OM	ASCC266_139_0823_SF_1C_OM	ASCC267_26_0823_SF_1C_OM	ASCC268_27_0823_SF_1C_OM	ASCC269_162_0823_SF_1C_OM	ASCC27_T1A_3_0923_SJ_1C_5	ASCC270_138_0823_SF_1C_OM	ASCC272_43_0823_SF_1C_OM	ASCC273_112_0823_SF_1C_OM	ASCC274_40_0823_SF_1C_OM	ASCC275_125_0823_SF_1C_OM	ASCC276_64_0823_SF_1C_OM	ASCC277_57_0823_SF_1C_5	ASCC278_85_0823_SF_1C_15	ASCC279_168_0823_SF_1C_15	ASCC28_C1_5_0923_SJ_1C_15	ASCC280_37_0823_SF_1C_15	ASCC281_103_0823_SF_1C_5	ASCC282_154_0823_SF_1C_15	ASCC284_154_0823_SF_1C_5	ASCC286_162_0823_SF_1C_5	ASCC288_8_0823_SF_1C_OM	ASCC289_114_0823_SF_1C_15	ASCC29_C3_3_0923_SJ_1C_15	ASCC290_101_0823_SF_1C_5	ASCC291_84_0823_SF_1C_15	ASCC292_55_0823_SF_1C_5	ASCC293_62_0823_SF_1C_5	ASCC295_26_0823_SF_1C_5	ASCC296_122_0823_SF_1C_5	ASCC297_64_0823_SF_1C_15	ASCC298_76_0823_SF_1C_5	ASCC299_5_0823_SF_1C_15	ASCC3_T4A_5_0923_SJ_1C_5	ASCC30_T1A_2_0923_SJ_1C_15	ASCC300_32_0823_SF_1C_15	ASCC301_16_0823_SF_1C_15	ASCC302_151_0823_SF_1C_5	ASCC303_43_0823_SF_1C_5	ASCC304_8_0823_SF_1C_5	ASCC305_38_0823_SF_1C_5	ASCC306_8_0823_SF_1C_15	ASCC307_125_0823_SF_1C_5	ASCC308_64_0823_SF_1C_5	ASCC309_26_0823_SF_1C_15	ASCC31_T4B_5_0923_SJ_1C_5	ASCC310_122_0823_SF_1C_15	ASCC311_103_0823_SF_1C_15	ASCC312_27_0823_SF_1C_5	ASCC313_55_0823_SF_1C_15	ASCC314_151_0823_SF_1C_15	ASCC315_75_0823_SF_1C_15	ASCC316_114_0823_SF_1C_5	ASCC317_101_0823_SF_1C_15	ASCC318_162_0823_SF_1C_15	ASCC319_37_0823_SF_1C_5	ASCC32_C3_5_0923_SJ_1C_15	ASCC320_32_0823_SF_1C_5	ASCC321_62_0823_SF_1C_15	ASCC322_13_0823_SF_1C_5	ASCC323_125_0823_SF_1C_15	ASCC324_112_0823_SF_1C_15	ASCC325_84_0823_SF_1C_5	ASCC326_57_0823_SF_1C_15	ASCC327_13_0823_SF_1C_15	ASCC328_168_0823_SF_1C_5	ASCC329_85_0823_SF_1C_5	ASCC33_T2C_7_0923_SJ_1C_5	ASCC330_16_0823_SF_1C_5	ASCC331_5_0823_SF_1C_5	ASCC332_27_0823_SF_1C_15	ASCC333_40_0823_SF_1C_5	ASCC334_75_0823_SF_1C_5	ASCC336_40_0823_SF_1C_15	ASCC337_43_0823_SF_1C_15	ASCC35_T4C_6_0923_SJ_1C_5	ASCC37_T1B_5_0923_SJ_1C_5	ASCC38_T1B_5_0923_SJ_1C_15	ASCC39_T3A_5_0923_SJ_1C_5	ASCC4_T2B_4_0923_SJ_1C_15	ASCC40_T3A_4_0923_SJ_1C_15	ASCC41_TC3_5_0923_SJ_1C_15	ASCC42_T3C_3_0923_SJ_1C_15	ASCC43_T1C_3_0923_SJ_1C_15	ASCC44_C4_3_0923_SJ_1C_15	ASCC45_T3B_2_0923_SJ_1C_5	ASCC46_C4_6_0923_SJ_1C_5	ASCC47_T3C_5_0923_SJ_1C_5	ASCC48_T4A_4_0923_SJ_1C_15	ASCC49_T4A_3_0923_SJ_1C_5	ASCC5_C2_2_0923_SJ_1C_15	ASCC50_C3_4_0923_SJ_1C_15	ASCC51_T2B_3_0923_SJ_1C_5	ASCC52_T4A_6_0923_SJ_1C_15	ASCC53_T3B_5_0923_SJ_1C_5	ASCC56_C2_2_0923_SJ_1C_5	ASCC57_T1C_6_0923_SJ_1C_5	ASCC58_T1C_4_0923_SJ_1C_15	ASCC59_T4C_6_0923_SJ_1C_15	ASCC6_T4C_6_0923_SJ_1C_5	ASCC60_T4C_4_0923_SJ_1C_15	ASCC61_T4C_4_0923_SJ_1C_5	ASCC62_T3C_4_0923_SJ_1C_15	ASCC63_TIC_3_0923_SJ_1C_5	ASCC64_T2A_3_0923_SJ_1C_15	ASCC65_T2A_5_0923_SJ_1C_15	ASCC66_T3B_2_0923_SJ_1C_15	ASCC67_T2A_4_0923_SJ_1C_15	ASCC68_T4C_5_0923_SJ_1C_15	ASCC69_C2_5_0923_SJ_1C_5	ASCC7_T1C_4_0923_SJ_1C_5	ASCC70_T4B_4_0923_SJ_1C_15	ASCC71_TIB_3_0923_SJ_1C_15	ASCC72_T4C_5_0923_SJ_1C_5	ASCC74_C1_4_0923_SJ_1C_5	ASCC75_T2B_6_0923_SJ_1C_5	ASCC76_C1_2_0923_SJ_1C_15	ASCC_77_C4_4_0923_SJ_1C_5	ASCC78_C4_3_0923_SJ_1C_5	ASCC79_T2A_3_0923_SJ_1C_5	ASCC8_C3_4_0923_SJ_1C_5	ASCC80_T4B_4_0923_SJ_1C_5	ASCC81_T3A_5_0923_SJ_1C_15	ASCC82_T2C_5_0923_SJ_1C_15	ASCC83_T4B_4_0923_SJ_1C_5	ASCC84_C1_4_0923_SJ_1C_15	ASCC85_C3_3_0923_SJ_1C_15	ASCC86_T1A_3_0923_SJ_1C_15	ASCC87_T4B_5_0923_SJ_1C_15	ASCC88_T1A_2_0923_SJ_1C_5	ASCC89_T2C_7_0923_SJ_1C_15	ASCC9_T2C_5_0923_SJ_1C_5	ASCC90_T1B_4_0923_SJ_1C_5	ASCC91_T1B_4_0923_SJ_1C_15	ASCC92_T1C_6_0923_SJ_1C_15	ASCC93_T4B_3_0923_SJ_1C_5	ASCC94_T4B_3_0923_SJ_1C_15	ASCC85_14_97_0923_TP_1C_15	ASCC96_16_111_0923_TP_1C_5	ASCC98_16_110_0923_TP_1C_15	ASCC99_10_68_0923_TP_1C_15
254f072c60f9c975524574d62378aa0e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105640445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
08b55128e6bd157154cf70b967f780d8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102897596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
040f5d8d7f66a3d4821cef139dabe3cc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037233547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00cbbf0d4b93c5447e3225a660213cf9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202792a1d9c4b5e2cebc3ed446888ba8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070429621	0.085404774	0	0.208023774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108024691	0	0	0	0	0	0	0.138048211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134267367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160884867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.240838685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119552872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028e9e09f13e2ce0c1db9efcf76a4072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03237643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
009211481838b4624f192e31bce3eaad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106119561	0	0	0	0	0	0	0	0	0	0.135737832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.342048359	0.273999413	0	0	0.227598832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0080c74d1e9e56f7e848d518f94e2107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23052e5d7614f5818201ec1ee6c8fd71	0	0	0	0.05210212	0.484283626	0.067486141	0	0	0	0	0.027510316	0	0.049674631	0	0.047788687	0	0	0	0.102396068	0	0	0	0.039211293	0	0	0	0	0	0	0	0	0.041482711	0	0.050846795	0.063402081	0	0	0	0	0	0.050474923	0.06074514	0.053660663	0	0	0.136701337	0	0	0	0	0.092649784	0.028007282	0	0	0	0.044870487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058284322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055486198	0	0	0	0	0.036724201	0	0	0	0	0	0	0	0	0	0	0	0.115749672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045171199	0	0.068065095	0	0	0	0	0.090744102	0	0	0	0	0	0	0.256647161	0.099721611	0	0	0.074031422	0	0	0	0	0.054913108	0	0.094227336	0	0	0.032162614	0	0.17452007	0.1020248	0	0.051538801	0.056111878	0	0.04995005	0.068359889	0.08828586	0	0.090103619	0	0.122500766	0	0	0	0.031153726	0.483210483	0	0	0	0.078412154	0.118747217	0	0.071732336	0.058007699	0.089317044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043066322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0.131423757	0	0.093075205	0.126234907
0009238b927640119007348ca02c1e73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016463615	0	0	0	0	0	0.011574967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012465201	0	0	0	0	0	0	0	0	0	0	0.068454538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044530206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
